car_available,pt_subscr,current_edu,level_of_employment_cat,main_mode,share
,,,,bike,0.0744672136924372
,,,,car,0.395614933034831
,,,,pt,0.162237636757827
,,,,ride,0.0803468143406766
,,,,walk,0.287333402174228
1,,,,bike,0.0662348752722147
1,,,,car,0.530035150667615
1,,,,pt,0.0536697694782368
1,,,,ride,0.0536697694782368
1,,,,walk,0.233945746334923
0,,,,bike,0.0974504596149261
0,,,,car,0.0273932728142163
0,,,,pt,0.288012811246934
0,,,,ride,0.153584931990979
0,,,,walk,0.433558524332944
,GA,,,bike,0.0851375978138273
,GA,,,car,0.147375658806348
,GA,,,pt,0.41649745093503
,GA,,,ride,0.0661177049699352
,GA,,,walk,0.28487158747486
,HTA,,,bike,0.124336431257081
,HTA,,,car,0.425304511151406
,HTA,,,pt,0.103673502132488
,HTA,,,ride,0.0638763537290544
,HTA,,,walk,0.282809201729971
,VA,,,bike,0.0355985186034425
,VA,,,car,0.122345789887339
,VA,,,pt,0.468949289492168
,VA,,,ride,0.0723418454655317
,VA,,,walk,0.300764556551519
,none,,,bike,0.0585431825835889
,none,,,car,0.520968827154366
,none,,,pt,0.0400155697421064
,none,,,ride,0.0946769612198103
,none,,,walk,0.285795459300129
,,apprentice,,bike,0.0582829879115983
,,apprentice,,car,0.229608540471432
,,apprentice,,pt,0.370559799419121
,,apprentice,,ride,0.121821086652281
,,apprentice,,walk,0.219727585545567
,,pupil_primary,,bike,0.0789988193525782
,,pupil_primary,,car,0.0008992174284003
,,pupil_primary,,pt,0.0996625434176109
,,pupil_primary,,ride,0.24290822938177
,,pupil_primary,,walk,0.577531190419641
,,pupil_secondary,,bike,0.213790143739896
,,pupil_secondary,,car,0.0186924187445983
,,pupil_secondary,,pt,0.276197923506012
,,pupil_secondary,,ride,0.144541040736645
,,pupil_secondary,,walk,0.346778473272848
,,student,,bike,0.165329169798336
,,student,,car,0.180930011558027
,,student,,pt,0.348474697252607
,,student,,ride,0.044077366014371
,,student,,walk,0.261188755376659
,,,0,bike,0.0741744822633165
,,,0,car,0.223195086830156
,,,0,pt,0.165273533213933
,,,0,ride,0.126735398929549
,,,0,walk,0.410621498763045
,,,1_to_39,bike,0.0672452094740701
,,,1_to_39,car,0.420047720431498
,,,1_to_39,pt,0.137465788668065
,,,1_to_39,ride,0.0662956285408254
,,,1_to_39,walk,0.308945652885541
,,,40_to_79,bike,0.121892843918242
,,,40_to_79,car,0.420571037269173
,,,40_to_79,pt,0.153944828997096
,,,40_to_79,ride,0.0600093794751739
,,,40_to_79,walk,0.243581910340314
,,,80_to_100,bike,0.0650852265730198
,,,80_to_100,car,0.497727133518435
,,,80_to_100,pt,0.164144121700896
,,,80_to_100,ride,0.0565684067559316
,,,80_to_100,walk,0.216475111451718